time (seconds since 2000-01-01 12:00:00),longwave (W/m^2)
5.2262628E8,5.1451843e-07
5.2262634E8,5.1609737e-07
5.226264E8,5.1492935e-07
5.2262646E8,5.1125664e-07
5.2262652E8,5.1233383e-07
5.2262658E8,5.1259337e-07
5.2262664E8,5.2920501e-07
5.226267E8,5.5278144e-07
5.2262676E8,5.6087094e-07
5.2262682E8,5.8565865e-07
5.2262688E8,6.0020250e-07
5.2262694E8,6.3043223e-07
5.22627E8,6.3977626e-07
5.2262706E8,6.4235456e-07
5.2262712E8,6.3847853e-07
5.2262718E8,6.2472196e-07
5.2262724E8,5.9474314e-07
5.226273E8,5.7837377e-07
5.2262736E8,5.6216874e-07
5.2262742E8,5.5347357e-07
5.2262748E8,5.5315780e-07
5.2262754E8,5.5684779e-07
5.226276E8,5.6022208e-07
5.2262766E8,5.4575605e-07
5.2262772E8,5.3322816e-07
5.2262778E8,5.2115877e-07
5.2262784E8,5.1116581e-07
5.226279E8,5.2304921e-07
5.2262796E8,5.4581665e-07
5.2262802E8,5.5593938e-07
5.2262808E8,5.8263913e-07
5.2262814E8,6.4847143e-07
5.226282E8,7.9473176e-07
5.2262826E8,1.3339613e-06
5.2262832E8,1.4596778e-06
5.2262838E8,1.2466205e-06
5.2262844E8,1.0701217e-06
5.226285E8,9.1320658e-07
5.2262856E8,7.8434948e-07
5.2262862E8,7.0713133e-07
5.2262868E8,6.6104695e-07
5.2262874E8,6.1862238e-07
5.226288E8,5.8617775e-07
5.2262886E8,5.6684075e-07
5.2262892E8,5.5478864e-07
5.2262898E8,5.2440322e-07
5.2262904E8,5.0467685e-07
5.226291E8,4.9168602e-07
5.2262916E8,4.7534692e-07
5.2262922E8,4.5912461e-07
5.2262928E8,4.4489224e-07
5.2262934E8,4.3602407e-07
5.226294E8,4.3187114e-07
5.2262946E8,4.3070312e-07
5.2262952E8,4.2883434e-07
5.2262958E8,4.1889331e-07
5.2262964E8,4.1097678e-07
5.226297E8,4.0838555e-07
5.2262976E8,4.0786210e-07
5.2262982E8,4.0903012e-07
5.2262988E8,4.0499833e-07
5.2262994E8,4.0967902e-07
5.2263E8,4.1175545e-07
5.2263006E8,4.2161864e-07
5.2263012E8,4.3134338e-07
5.2263018E8,4.2356533e-07
5.2263024E8,4.2888624e-07
5.226303E8,4.4489224e-07
5.2263036E8,4.4614677e-07
5.2263042E8,4.4095563e-07
5.2263048E8,4.4562765e-07
5.2263054E8,4.5041216e-07
5.226306E8,4.5172723e-07
5.2263066E8,4.6249886e-07
5.2263072E8,4.5718659e-07
5.2263078E8,4.4575742e-07
5.2263084E8,4.3848985e-07
5.226309E8,4.3021430e-07
5.2263096E8,4.2655023e-07
5.2263102E8,4.1863373e-07
5.2263108E8,4.2551201e-07
5.2263114E8,4.2394169e-07
5.226312E8,4.1993152e-07
5.2263126E8,4.2395467e-07
5.2263132E8,4.2494531e-07
5.2263138E8,4.2642046e-07
5.2263144E8,4.2642046e-07
5.226315E8,4.2720345e-07
5.2263156E8,4.3264981e-07
5.2263162E8,4.2966491e-07
5.2263168E8,4.3122225e-07
5.2263174E8,4.2783071e-07
5.226318E8,4.2083997e-07
5.2263186E8,4.2174841e-07
5.2263192E8,4.1240003e-07
5.2263198E8,4.0967902e-07
5.2263204E8,4.1993152e-07
5.226321E8,4.3810050e-07
5.2263216E8,4.7888989e-07
5.2263222E8,5.1869296e-07
5.2263228E8,6.6975508e-07
5.2263234E8,9.8659632e-07
5.226324E8,1.2262452e-06
5.2263246E8,1.2836074e-06
5.2263252E8,1.2645991e-06
5.2263258E8,1.2324746e-06
5.2263264E8,1.1639515e-06
5.226327E8,1.0946499e-06
5.2263276E8,9.8747444e-07
5.2263282E8,8.7830915e-07
5.2263288E8,8.0874787e-07
5.2263294E8,7.7031615e-07
5.22633E8,7.6592096e-07
5.2263306E8,7.3191899e-07
5.2263312E8,6.9780458e-07
5.2263318E8,6.6482352e-07
5.2263324E8,6.4496743e-07
5.226333E8,6.5080746e-07
5.2263336E8,6.6995409e-07
5.2263342E8,7.1310109e-07
5.2263348E8,9.2386136e-07
5.2263354E8,1.1919620e-06
5.226336E8,1.3142351e-06
