Time [ISO8601],Flare Class,Peak Flux [W/m2]
"2011-02-14T16:53:00Z","C1.8",1.83188e-06
"2011-02-14T17:26:00Z","M3.2",3.26890e-05
"2011-02-14T19:30:00Z","C9.5",9.55245e-06
"2011-02-14T23:19:00Z","C1.7",1.75758e-06
"2011-02-14T23:45:00Z","C3.8",3.85151e-06
"2011-02-15T00:38:00Z","C3.8",3.88216e-06
"2011-02-15T01:41:00Z","C1.6",1.69371e-06
"2011-02-15T01:56:00Z","X3.3",0.000330092
"2011-02-15T04:32:00Z","C7.0",7.03818e-06
"2011-02-15T07:14:00Z","C1.4",1.40768e-06
"2011-02-15T10:07:00Z","C1.5",1.54459e-06
"2011-02-15T14:24:00Z","C1.0",1.01964e-06
"2011-02-15T14:44:00Z","C6.9",6.95454e-06
"2011-02-15T18:44:00Z","C2.4",2.48432e-06
"2011-02-15T19:36:00Z","C1.2",1.20538e-06
"2011-02-15T20:11:00Z","C4.3",4.36507e-06
"2011-02-15T20:33:00Z","C9.5",9.57996e-06
"2011-02-15T22:54:00Z","C1.8",1.89383e-06
"2011-02-16T01:05:00Z","C2.9",2.96246e-06
"2011-02-16T01:39:00Z","M1.4",1.45149e-05
"2011-02-16T02:00:00Z","C3.1",3.18894e-06
"2011-02-16T05:45:00Z","C8.5",8.53309e-06
"2011-02-16T06:22:00Z","C3.1",3.14365e-06
"2011-02-16T07:28:00Z","C1.1",1.10157e-06
"2011-02-16T07:44:00Z","M1.6",1.64513e-05
"2011-02-16T09:11:00Z","M1.4",1.42399e-05
"2011-02-16T10:32:00Z","C4.7",4.70928e-06
"2011-02-16T11:46:00Z","B7.8",7.87894e-07
"2011-02-16T12:02:00Z","C1.5",1.52645e-06
"2011-02-16T14:25:00Z","M2.3",2.35970e-05
"2011-02-16T15:32:00Z","M1.1",1.10479e-05
"2011-02-16T19:36:00Z","C1.8",1.86266e-06
"2011-02-16T20:15:00Z","C1.5",1.57227e-06
"2011-02-16T21:11:00Z","C6.1",6.14476e-06
"2011-02-16T23:11:00Z","C2.2",2.26599e-06
"2011-02-16T23:33:00Z","C1.7",1.77564e-06
"2011-02-17T01:46:00Z","C8.7",8.77563e-06
"2011-02-17T02:52:00Z","C2.5",2.51087e-06
"2011-02-17T03:08:00Z","C3.3",3.37455e-06
"2011-02-17T04:15:00Z","C2.2",2.26170e-06
"2011-02-17T05:36:00Z","C1.5",1.53455e-06
"2011-02-17T06:47:00Z","C1.7",1.70910e-06
"2011-02-17T08:13:00Z","C1.8",1.82162e-06
"2011-02-17T09:30:00Z","C2.7",2.70624e-06
"2011-02-17T10:28:00Z","C3.8",3.80463e-06
"2011-02-17T10:44:00Z","C3.1",3.15686e-06
"2011-02-17T11:09:00Z","C1.8",1.87846e-06
"2011-02-17T12:36:00Z","C3.4",3.49407e-06
"2011-02-17T13:20:00Z","C1.2",1.23982e-06
"2011-02-17T15:54:00Z","C1.8",1.87522e-06
"2011-02-17T16:42:00Z","B9.4",9.46393e-07
"2011-02-17T21:35:00Z","C1.5",1.58919e-06
"2011-02-17T22:07:00Z","C1.1",1.17258e-06
"2011-02-17T22:22:00Z","C1.1",1.16118e-06
"2011-02-17T23:10:00Z","C1.1",1.16129e-06
"2011-02-18T00:26:00Z","C1.4",1.47619e-06
"2011-02-18T00:44:00Z","C1.6",1.67696e-06
"2011-02-18T01:08:00Z","C2.4",2.49225e-06
"2011-02-18T03:29:00Z","C2.7",2.72258e-06
"2011-02-18T04:51:00Z","C5.7",5.76160e-06
"2011-02-18T06:00:00Z","C1.6",1.67942e-06
"2011-02-18T06:33:00Z","M1.2",1.22473e-05
"2011-02-18T07:24:00Z","M1.0",1.09794e-05
"2011-02-18T09:11:00Z","C6.0",6.08916e-06
"2011-02-18T10:03:00Z","C6.2",6.26160e-06
"2011-02-18T10:11:00Z","M9.6",9.61371e-05
"2011-02-18T11:58:00Z","C2.5",2.50728e-06
"2011-02-18T12:20:00Z","C4.3",4.32249e-06
"2011-02-18T12:54:00Z","C4.0",4.00684e-06
"2011-02-18T13:03:00Z","M2.1",2.14811e-05
"2011-02-18T14:08:00Z","M1.4",1.44402e-05
"2011-02-18T14:32:00Z","C5.8",5.81323e-06
"2011-02-18T15:05:00Z","C7.2",7.21136e-06
"2011-02-18T15:55:00Z","C8.0",8.01372e-06
